idx,kind,start,end,dur,peak_db,p90_db,med_db,snr_peak,silero_peak,silero_mean,flatness,never_decoded_frac,gap_prev,gap_next,asr_text,asr_nsp,asr_lp,text_class,verdict,clip,label,grp
282,empty,923.335,924.37,1.035,5.2,3.0,-14.6,42.9,0.34,0.05,0.018,0.0,2.45,0.18,え?,0.0,-0.33,filler,ambiguous,yingtao,真语音,E empty待判
285,empty,937.505,938.66,1.155,1.1,-2.9,-9.5,28.8,1.0,0.53,0.05,0.0,2.43,0.66,不快状態,0.0,-0.47,real,real,yingtao,真语音,D empty有文本
288,empty,955.485,957.49,2.005,5.8,2.7,-7.3,73.3,0.99,0.53,0.084,0.0,0.78,0.91,僕たちはやり遂げた,0.0,-0.15,real,real,yingtao,真语音,D empty有文本
289,empty,958.395,960.2,1.805,-2.2,-6.8,-29.0,86.3,0.85,0.14,0.12,0.0,0.91,4.28,そうだよね,0.0,-0.24,real,real,yingtao,真语音,D empty有文本
290,empty,964.475,966.04,1.565,0.8,-6.3,-28.8,97.8,0.9,0.14,0.105,0.0,4.28,0.05,はっ,0.0,-1.0,real,real,yingtao,真语音,D empty有文本
296,empty,1087.915,1088.51,0.595,4.0,-0.1,-45.8,44.9,0.93,0.35,0.069,0.0,0.29,0.29,ご視聴ありがとうございました,0.0,-0.57,hallucination,ambiguous,yingtao,幻觉,E empty待判
300,empty,1145.165,1146.93,1.765,12.4,10.6,8.4,36.0,0.35,0.04,0.012,0.0,0.16,0.67,ああああああああ,0.0,-1.18,hallucination,ambiguous,yingtao,语气词,E empty待判
312,empty,1329.795,1331.01,1.215,13.4,10.3,4.9,23.8,0.98,0.75,0.019,0.0,0.27,0.87,サプライズをあげる,0.0,-0.09,real,real,yingtao,真语音,D empty有文本
314,empty,1357.695,1359.35,1.655,2.7,-5.0,-15.0,61.0,0.94,0.3,0.111,0.0,2.68,1.29,キューズ,0.0,-0.51,real,real,yingtao,真语音,D empty有文本
320,empty,1382.685,1385.26,2.575,-6.5,-11.1,-15.6,25.3,0.0,0.0,0.003,0.0,2.55,0.36,ああああああああ,0.0,-0.82,hallucination,jitter_silero,yingtao,语气词,F 抖动抽查
324,empty,1407.115,1407.92,0.805,-2.9,-5.3,-8.2,13.8,0.0,0.0,0.057,0.0,6.89,1.09,おやすみ,0.0,-1.38,real,real,yingtao,语气词,D empty有文本
